Timestamp,Dado
2025-10-07 20:26:09.331,16.54
2025-10-07 20:26:09.338,16.43
2025-10-07 20:26:09.360,16.43
2025-10-07 20:26:09.381,16.43
2025-10-07 20:26:09.398,16.54
2025-10-07 20:26:09.409,16.43
2025-10-07 20:26:09.442,16.33
2025-10-07 20:26:09.463,16.43
2025-10-07 20:26:09.482,16.54
2025-10-07 20:26:09.493,16.33
2025-10-07 20:26:09.524,16.14
2025-10-07 20:26:09.545,16.43
2025-10-07 20:26:09.565,16.54
2025-10-07 20:26:09.582,15.94
2025-10-07 20:26:09.592,16.23
2025-10-07 20:26:09.626,16.43
2025-10-07 20:26:09.647,16.54
2025-10-07 20:26:09.665,16.54
2025-10-07 20:26:09.683,16.54
2025-10-07 20:26:09.709,16.43
2025-10-07 20:26:09.729,16.54
2025-10-07 20:26:09.748,16.54
2025-10-07 20:26:09.770,16.43
2025-10-07 20:26:09.790,16.33
2025-10-07 20:26:09.811,16.54
2025-10-07 20:26:09.831,16.54
2025-10-07 20:26:09.849,16.43
2025-10-07 20:26:09.865,16.43
2025-10-07 20:26:09.892,16.43
2025-10-07 20:26:09.913,16.54
2025-10-07 20:26:09.934,16.43
2025-10-07 20:26:09.948,16.33
2025-10-07 20:26:09.975,16.43
2025-10-07 20:26:09.995,16.54
2025-10-07 20:26:10.014,16.43
2025-10-07 20:26:10.036,16.23
2025-10-07 20:26:10.043,16.54
2025-10-07 20:26:10.077,16.54
2025-10-07 20:26:10.096,16.14
2025-10-07 20:26:10.115,15.21
2025-10-07 20:26:10.138,16.43
2025-10-07 20:26:10.159,16.54
2025-10-07 20:26:10.179,16.33
2025-10-07 20:26:10.198,17.18
2025-10-07 20:26:10.215,16.54
2025-10-07 20:26:10.241,16.54
2025-10-07 20:26:10.261,16.43
2025-10-07 20:26:10.282,16.43
2025-10-07 20:26:10.292,16.54
2025-10-07 20:26:10.309,16.54
2025-10-07 20:26:10.343,16.54
2025-10-07 20:26:10.364,16.43
2025-10-07 20:26:10.381,16.43
2025-10-07 20:26:10.398,16.54
2025-10-07 20:26:10.425,16.43
2025-10-07 20:26:10.445,16.43
2025-10-07 20:26:10.465,16.54
2025-10-07 20:26:10.476,16.54
2025-10-07 20:26:10.507,16.43
2025-10-07 20:26:10.527,16.33
2025-10-07 20:26:10.548,16.43
2025-10-07 20:26:10.559,16.54
2025-10-07 20:26:10.576,16.33
2025-10-07 20:26:10.609,16.33
2025-10-07 20:26:10.629,16.43
2025-10-07 20:26:10.648,16.54
2025-10-07 20:26:10.669,16.14
2025-10-07 20:26:10.692,15.21
2025-10-07 20:26:10.712,16.43
2025-10-07 20:26:10.732,16.54
2025-10-07 20:26:10.747,16.43
2025-10-07 20:26:10.760,17.07
2025-10-07 20:26:10.794,16.43
2025-10-07 20:26:10.814,16.54
2025-10-07 20:26:10.831,16.54
2025-10-07 20:26:10.842,16.43
2025-10-07 20:26:10.876,16.54
2025-10-07 20:26:10.896,16.54
2025-10-07 20:26:10.914,16.54
2025-10-07 20:26:10.926,16.43
2025-10-07 20:26:10.957,16.43
2025-10-07 20:26:10.978,16.43
2025-10-07 20:26:11.015,16.54
2025-10-07 20:26:11.032,16.43
2025-10-07 20:26:11.044,16.43
2025-10-07 20:26:11.060,16.54
2025-10-07 20:26:11.081,16.43
2025-10-07 20:26:11.092,16.33
2025-10-07 20:26:11.109,16.54
2025-10-07 20:26:11.142,16.54
2025-10-07 20:26:11.162,16.33
2025-10-07 20:26:11.182,16.33
2025-10-07 20:26:11.202,16.43
2025-10-07 20:26:11.224,16.54
2025-10-07 20:26:11.244,15.85
2025-10-07 20:26:11.265,15.21
2025-10-07 20:26:11.282,16.43
2025-10-07 20:26:11.297,16.54
2025-10-07 20:26:11.326,17.07
2025-10-07 20:26:11.346,16.64
2025-10-07 20:26:11.364,16.43
2025-10-07 20:26:11.376,16.54
2025-10-07 20:26:11.409,16.54
2025-10-07 20:26:11.428,16.43
2025-10-07 20:26:11.448,16.43
2025-10-07 20:26:11.459,16.54
2025-10-07 20:26:11.476,16.43
2025-10-07 20:26:11.510,16.43
2025-10-07 20:26:11.530,16.43
2025-10-07 20:26:11.547,16.54
2025-10-07 20:26:11.564,16.54
2025-10-07 20:26:11.593,16.43
2025-10-07 20:26:11.613,16.43
2025-10-07 20:26:11.631,16.54
2025-10-07 20:26:11.642,16.43
2025-10-07 20:26:11.674,16.43
2025-10-07 20:26:11.694,16.43
2025-10-07 20:26:11.715,16.54
2025-10-07 20:26:11.731,16.43
2025-10-07 20:26:11.742,16.33
2025-10-07 20:26:11.776,16.43
2025-10-07 20:26:11.797,16.54
2025-10-07 20:26:11.815,15.85
2025-10-07 20:26:11.832,15.30
2025-10-07 20:26:11.858,16.43
2025-10-07 20:26:11.879,16.54
2025-10-07 20:26:11.899,17.29
2025-10-07 20:26:11.915,16.64
2025-10-07 20:26:11.941,16.43
2025-10-07 20:26:11.961,16.54
2025-10-07 20:26:11.982,16.64
2025-10-07 20:26:11.998,16.43
2025-10-07 20:26:12.009,16.43
2025-10-07 20:26:12.043,16.54
2025-10-07 20:26:12.063,16.54
2025-10-07 20:26:12.081,16.43
2025-10-07 20:26:12.092,16.43
2025-10-07 20:26:12.125,16.43
2025-10-07 20:26:12.145,16.54
2025-10-07 20:26:12.165,16.43
2025-10-07 20:26:12.175,16.33
2025-10-07 20:26:12.193,16.54
2025-10-07 20:26:12.227,16.64
2025-10-07 20:26:12.247,16.33
2025-10-07 20:26:12.265,16.33
2025-10-07 20:26:12.276,16.54
