Timestamp,Dado
2025-10-11 09:07:02.929,17.18
2025-10-11 09:07:02.945,17.52
2025-10-11 09:07:02.973,17.63
2025-10-11 09:07:02.993,16.74
2025-10-11 09:07:03.011,16.85
2025-10-11 09:07:03.022,17.52
2025-10-11 09:07:03.071,17.63
2025-10-11 09:07:03.074,18.49
2025-10-11 09:07:03.094,17.52
2025-10-11 09:07:03.111,17.63
2025-10-11 09:07:03.128,17.63
2025-10-11 09:07:03.157,17.52
2025-10-11 09:07:03.178,17.52
2025-10-11 09:07:03.194,17.52
2025-10-11 09:07:03.211,17.63
2025-10-11 09:07:03.239,17.52
2025-10-11 09:07:03.260,17.52
2025-10-11 09:07:03.278,17.52
2025-10-11 09:07:03.295,17.63
2025-10-11 09:07:03.321,17.52
2025-10-11 09:07:03.342,17.52
2025-10-11 09:07:03.361,17.52
2025-10-11 09:07:03.378,17.63
2025-10-11 09:07:03.394,17.52
2025-10-11 09:07:03.423,17.40
2025-10-11 09:07:03.444,17.52
2025-10-11 09:07:03.462,17.63
2025-10-11 09:07:03.478,17.52
2025-10-11 09:07:03.505,17.52
2025-10-11 09:07:03.526,17.52
2025-10-11 09:07:03.544,17.63
2025-10-11 09:07:03.561,17.40
2025-10-11 09:07:03.587,17.40
2025-10-11 09:07:03.607,17.52
2025-10-11 09:07:03.627,17.63
2025-10-11 09:07:03.643,17.40
2025-10-11 09:07:03.655,17.29
2025-10-11 09:07:03.690,17.52
2025-10-11 09:07:03.711,17.63
2025-10-11 09:07:03.727,16.74
2025-10-11 09:07:03.744,16.74
2025-10-11 09:07:03.771,17.52
2025-10-11 09:07:03.792,17.63
2025-10-11 09:07:03.811,18.49
2025-10-11 09:07:03.827,17.52
2025-10-11 09:07:03.854,17.52
2025-10-11 09:07:03.874,17.63
2025-10-11 09:07:03.894,17.63
2025-10-11 09:07:03.911,17.40
2025-10-11 09:07:03.927,17.52
2025-10-11 09:07:03.955,17.63
2025-10-11 09:07:03.976,17.63
2025-10-11 09:07:03.994,17.52
2025-10-11 09:07:04.010,17.52
2025-10-11 09:07:04.038,17.52
2025-10-11 09:07:04.059,17.63
2025-10-11 09:07:04.077,17.52
2025-10-11 09:07:04.088,17.52
2025-10-11 09:07:04.120,17.63
2025-10-11 09:07:04.141,17.63
2025-10-11 09:07:04.161,17.40
2025-10-11 09:07:04.177,17.52
2025-10-11 09:07:04.202,17.63
2025-10-11 09:07:04.222,17.52
2025-10-11 09:07:04.243,17.40
2025-10-11 09:07:04.255,17.63
2025-10-11 09:07:04.271,17.63
2025-10-11 09:07:04.304,17.40
2025-10-11 09:07:04.325,17.40
2025-10-11 09:07:04.344,17.52
2025-10-11 09:07:04.354,17.63
2025-10-11 09:07:04.386,17.40
2025-10-11 09:07:04.407,17.29
2025-10-11 09:07:04.427,17.52
2025-10-11 09:07:04.444,17.63
2025-10-11 09:07:04.460,16.74
2025-10-11 09:07:04.489,16.74
2025-10-11 09:07:04.509,17.52
2025-10-11 09:07:04.528,17.63
2025-10-11 09:07:04.543,18.49
2025-10-11 09:07:04.571,17.52
2025-10-11 09:07:04.591,17.52
2025-10-11 09:07:04.610,17.63
2025-10-11 09:07:04.627,17.63
2025-10-11 09:07:04.653,17.52
2025-10-11 09:07:04.673,17.40
2025-10-11 09:07:04.693,17.63
2025-10-11 09:07:04.704,17.63
2025-10-11 09:07:04.722,17.52
2025-10-11 09:07:04.755,17.52
2025-10-11 09:07:04.775,17.63
2025-10-11 09:07:04.795,17.63
2025-10-11 09:07:04.811,17.52
2025-10-11 09:07:04.837,17.52
2025-10-11 09:07:04.857,17.52
2025-10-11 09:07:04.876,17.52
2025-10-11 09:07:04.898,17.52
2025-10-11 09:07:04.919,17.52
2025-10-11 09:07:04.939,17.52
2025-10-11 09:07:04.960,17.52
2025-10-11 09:07:04.976,17.40
2025-10-11 09:07:04.999,17.52
2025-10-11 09:07:05.022,17.63
2025-10-11 09:07:05.042,17.52
2025-10-11 09:07:05.060,17.29
