TIMESTAMP ,SERVO_MOTOR_RAW ,SERVO_MOTOR_SCA ,SERVO_RAW ,SERVO_SCA ,ARDUINO_RPI_STATUS ,ARDUINO_STATUS ,RPI_STATUS ,,,,,
2025/08/30 16:03:25,"1,000134801","-8,976062219","1,000134801","13,11037304",1,1,1,,,,,
2025/08/30 16:03:34,"1,006002873","-8,852708881","1,006002873","13,16382615",1,1,1,,,,,
2025/08/30 16:03:43,"1,001803914","-8,940975634","1,001803914","13,12557723",1,1,1,,,,,
2025/08/30 16:03:51,"0,9960574663","-9,061772305","0,9960574663","13,073232",1,1,1,,,,,
2025/08/30 16:04:00,"0,9973918511","-9,033722062","0,9973918511","13,08538711",1,1,1,,,,,
2025/08/30 16:04:09,"1,002137598","-8,933961218","1,002137598","13,12861681",1,1,1,,,,,
2025/08/30 16:04:17,"1,002640195","-8,923396077","1,002640195","13,13319503",1,1,1,,,,,
2025/08/30 16:04:26,"0,9992301706","-8,995078557","0,9992301706","13,10213263",1,1,1,,,,,
2025/08/30 16:04:34,"0,9977698224","-9,025776689","0,9977698224","13,0888301",1,1,1,,,,,
2025/08/30 16:04:43,"0,9998711905","-8,981603612","0,9998711905","13,10797177",1,1,1,,,,,
2025/08/30 16:04:52,"1,001636559","-8,94449361","1,001636559","13,12405277",1,1,1,,,,,
2025/08/30 16:05:00,"1,000616317","-8,965940236","1,000616317","13,11475923",1,1,1,,,,,
2025/08/30 16:05:09,"0,9996181358","-8,986923101","0,9996181358","13,10566666",1,1,1,,,,,
